month,categories_list,count
2007-05,cond-mat.soft,2544
2007-05,physics.atom-ph,754
2007-05,physics.ed-ph,392
2007-05,physics.geo-ph,280
2007-05,physics.pop-ph,152
2007-08,physics.atom-ph,14
2008-11,astro-ph,8690
2008-11,nucl-ex,1445
2008-11,nucl-th,4178
2008-11,physics.space-ph,51
2008-12,nucl-ex,67
2009-01,hep-ex,149
2009-07,astro-ph,340
2009-08,cond-mat.stat-mech,109
2009-09,nucl-ex,168
2009-10,cs.DL,13
2009-10,nlin.AO,310
2009-10,physics.ao-ph,17
2009-11,physics.flu-dyn,767
2009-11,physics.ins-det,388
2009-11,quant-ph,9610
2009-12,astro-ph,244
2009-12,nucl-ex,42
2010-04,hep-ex,731
2010-05,nucl-th,147
2010-06,astro-ph,21
2010-12,cond-mat,19
2010-12,nucl-th,254
2011-07,nucl-ex,108
2011-08,hep-th,635
2011-09,nucl-ex,105
2011-10,astro-ph,17
2011-11,astro-ph.GA,38
2012-04,astro-ph,38
2012-06,astro-ph,8
2012-08,hep-ex,1527
2013-05,cond-mat.stat-mech,565
2013-06,hep-ph,341
2013-11,astro-ph,13
2014-07,hep-ph,422
2014-10,hep-ex,198
2014-10,physics.flu-dyn,77
2015-06,astro-ph,3066
2015-06,physics.data-an,340
2015-08,astro-ph,13
2015-10,physics.comp-ph,64
2016-03,astro-ph,32
2016-04,astro-ph,24
2016-06,astro-ph,89
2016-08,astro-ph.IM,212
2016-08,cond-mat.mtrl-sci,901
2016-08,hep-ph,1411
2016-11,astro-ph,249
2017-06,gr-qc,369
2017-06,hep-th,468
2017-09,nucl-th,170
2017-12,astro-ph,6
2018-09,hep-ph,506
2019-05,astro-ph,3
2019-08,nucl-th,270
2019-10,astro-ph,8
2021-07,astro-ph,6
2021-11,astro-ph,2
2022-07,gr-qc,460
2023-01,physics.hist-ph,31
2023-07,math.MP,479
2023-07,nlin.SI,56
2007-06,hep-th,73
2007-08,hep-ph,65
2007-11,gr-qc,67
2008-02,cond-mat,316
2008-02,gr-qc,346
2008-11,cs.NA,6
2009-06,hep-ph,364
2009-10,patt-sol,394
2010-01,hep-th,451
2010-04,bayes-an,1
2010-08,astro-ph,11
2010-09,astro-ph,8
2010-11,physics.bio-ph,36
2010-11,physics.chem-ph,27
2010-11,physics.flu-dyn,38
2011-02,cs.DL,14
2011-05,math-ph,252
2011-05,nlin.CD,36
2011-11,gr-qc,244
2012-10,chao-dyn,1
2014-08,gr-qc,234
2015-06,comp-gas,14
2018-06,astro-ph.SR,295
2019-08,cond-mat,60
2020-11,astro-ph,38
2021-01,hep-ph,609
2022-09,gr-qc,549
2007-05,cond-mat.str-el,4313
2007-05,cs.MA,128
2007-05,cs.NI,370
2007-05,math.OC,583
2007-05,nlin.SI,1138
2007-05,physics.med-ph,174
2007-05,q-bio.CB,107
2007-06,cond-mat.dis-nn,43
2007-06,q-bio.BM,15
2007-10,cond-mat.str-el,99
2007-11,cond-mat.mtrl-sci,84
2008-01,quant-ph,142
2008-02,bayes-an,11
2008-02,nlin.SI,198
2008-03,cond-mat,6
2008-03,physics.flu-dyn,11
2008-04,cond-mat.mtrl-sci,114
2008-04,physics.data-an,22
2008-06,q-bio.PE,22
2008-10,cond-mat.mes-hall,83
2008-10,cond-mat.supr-con,69
2008-10,math.MP,121
2008-11,math.NT,85
2008-11,physics.atm-clus,7
2008-12,cond-mat.mtrl-sci,118
2008-12,physics.plasm-ph,20
