month,major_category,count
2007-05,Computer Science,7928
2007-05,Mathematics,62301
2007-05,Other,104407
2007-05,Physics,11518
2007-05,Quantitative Biology,2819
2007-05,Statistics,52
2007-06,Computer Science,233
2007-06,Mathematics,2522
2007-06,Other,1326
2007-06,Physics,263
2007-06,Quantitative Biology,88
2007-06,Statistics,795
2007-07,Computer Science,1296
2007-07,Mathematics,2112
2007-07,Other,1119
2007-07,Physics,234
2007-07,Quantitative Biology,93
2007-07,Statistics,45
2007-08,Computer Science,200
2007-08,Mathematics,1036
2007-08,Other,1103
2007-08,Physics,208
2007-08,Quantitative Biology,88
2007-08,Statistics,73
2007-09,Computer Science,164
2007-09,Mathematics,1187
2007-09,Other,1042
2007-09,Physics,251
2007-09,Quantitative Biology,69
2007-09,Statistics,59
2007-10,Computer Science,229
2007-10,Mathematics,1452
2007-10,Other,1357
2007-10,Physics,202
2007-10,Quantitative Biology,56
2007-10,Statistics,53
2007-11,Computer Science,263
2007-11,Mathematics,1412
2007-11,Other,1120
2007-11,Physics,233
2007-11,Quantitative Biology,93
2007-11,Statistics,75
2007-12,Computer Science,244
2007-12,Mathematics,1238
2007-12,Other,1031
2007-12,Physics,203
2007-12,Quantitative Biology,91
2007-12,Statistics,56
2008-01,Computer Science,214
2008-01,Mathematics,1220
2008-01,Other,1103
2008-01,Physics,294
2008-01,Quantitative Biology,83
2008-01,Statistics,54
2008-02,Computer Science,1130
2008-02,Mathematics,4717
2008-02,Other,9804
2008-02,Physics,517
2008-02,Quantitative Biology,146
2008-02,Statistics,92
2008-03,Computer Science,193
2008-03,Mathematics,1299
2008-03,Other,1120
2008-03,Physics,197
2008-03,Quantitative Biology,56
2008-03,Statistics,30
2008-04,Computer Science,249
2008-04,Mathematics,1852
2008-04,Other,1426
2008-04,Physics,277
2008-04,Quantitative Biology,64
2008-04,Statistics,53
2008-05,Computer Science,265
2008-05,Mathematics,1306
2008-05,Other,1118
2008-05,Physics,241
2008-05,Quantitative Biology,60
2008-05,Statistics,44
2008-06,Computer Science,243
2008-06,Mathematics,1288
2008-06,Other,1162
2008-06,Physics,245
2008-06,Quantitative Biology,100
2008-06,Statistics,47
2008-07,Computer Science,292
2008-07,Mathematics,1376
2008-07,Other,1423
2008-07,Physics,317
2008-07,Quantitative Biology,99
2008-07,Statistics,75
2008-08,Computer Science,197
2008-08,Mathematics,1143
2008-08,Other,1183
2008-08,Physics,217
2008-08,Quantitative Biology,68
2008-08,Statistics,81
2008-09,Computer Science,382
2008-09,Mathematics,1434
2008-09,Other,1367
2008-09,Physics,223
2008-09,Quantitative Biology,76
2008-09,Statistics,61
2008-10,Computer Science,291
2008-10,Mathematics,1574
2008-10,Other,1575
2008-10,Physics,319
2008-10,Quantitative Biology,64
2008-10,Statistics,68
2008-11,Computer Science,345
2008-11,Mathematics,4419
2008-11,Other,47447
2008-11,Physics,1255
2008-11,Quantitative Biology,87
2008-11,Statistics,86
2008-12,Computer Science,747
2008-12,Mathematics,2498
2008-12,Other,4100
2008-12,Physics,942
2008-12,Quantitative Biology,90
2008-12,Quantitative Finance,1002
2008-12,Statistics,413
2009-01,Computer Science,340
2009-01,Mathematics,1532
2009-01,Other,3671
2009-01,Physics,430
2009-01,Quantitative Biology,82
2009-01,Quantitative Finance,50
2009-01,Statistics,106
2009-02,Computer Science,325
2009-02,Mathematics,1776
2009-02,Other,3312
2009-02,Physics,445
2009-02,Quantitative Biology,79
2009-02,Quantitative Finance,35
2009-02,Statistics,61
2009-03,Computer Science,436
2009-03,Mathematics,1963
2009-03,Other,2586
2009-03,Physics,349
2009-03,Quantitative Biology,80
2009-03,Quantitative Finance,39
2009-03,Statistics,97
2009-04,Computer Science,407
2009-04,Mathematics,1867
2009-04,Other,2947
2009-04,Physics,443
2009-04,Quantitative Biology,88
2009-04,Quantitative Finance,41
2009-04,Statistics,82
2009-05,Computer Science,375
2009-05,Mathematics,1455
2009-05,Other,2102
2009-05,Physics,401
2009-05,Quantitative Biology,71
2009-05,Quantitative Finance,22
2009-05,Statistics,59
2009-06,Computer Science,496
2009-06,Mathematics,1632
2009-06,Other,4100
2009-06,Physics,387
2009-06,Quantitative Biology,73
2009-06,Quantitative Finance,31
2009-06,Statistics,107
2009-07,Computer Science,448
2009-07,Mathematics,1705
2009-07,Other,3679
2009-07,Physics,339
2009-07,Quantitative Biology,78
2009-07,Quantitative Finance,27
2009-07,Statistics,67
2009-08,Computer Science,444
2009-08,Mathematics,1432
2009-08,Other,2824
2009-08,Physics,322
2009-08,Quantitative Biology,71
2009-08,Quantitative Finance,26
2009-08,Statistics,143
2009-09,Computer Science,972
2009-09,Mathematics,3649
2009-09,Other,10412
2009-09,Physics,786
2009-09,Quantitative Biology,176
2009-09,Quantitative Finance,44
2009-09,Statistics,302
2009-10,Computer Science,527
2009-10,Mathematics,5316
2009-10,Other,83728
2009-10,Physics,1928
2009-10,Quantitative Biology,490
2009-10,Quantitative Finance,112
2009-10,Statistics,96
2009-11,Computer Science,862
2009-11,Mathematics,10931
2009-11,Other,139900
2009-11,Physics,9902
2009-11,Quantitative Biology,1667
2009-11,Quantitative Finance,445
2009-11,Statistics,140
2009-12,Computer Science,618
2009-12,Mathematics,1809
2009-12,Other,3605
2009-12,Physics,391
2009-12,Quantitative Biology,86
2009-12,Quantitative Finance,44
2009-12,Statistics,78
2010-01,Computer Science,557
2010-01,Mathematics,2003
2010-01,Other,3727
2010-01,Physics,452
2010-01,Quantitative Biology,66
2010-01,Quantitative Finance,58
2010-01,Statistics,104
2010-02,Computer Science,602
2010-02,Mathematics,1739
2010-02,Other,4159
2010-02,Physics,394
2010-02,Quantitative Biology,82
2010-02,Quantitative Finance,50
2010-02,Statistics,101
2010-03,Computer Science,588
2010-03,Mathematics,2171
2010-03,Other,3216
2010-03,Physics,440
2010-03,Quantitative Biology,99
2010-03,Quantitative Finance,29
2010-03,Statistics,95
2010-04,Computer Science,645
2010-04,Mathematics,2071
2010-04,Other,8137
2010-04,Physics,437
2010-04,Quantitative Biology,75
2010-04,Quantitative Finance,69
2010-04,Statistics,76
2010-05,Computer Science,519
2010-05,Mathematics,1887
2010-05,Other,4069
2010-05,Physics,458
2010-05,Quantitative Biology,75
2010-05,Quantitative Finance,38
2010-05,Statistics,74
2010-06,Computer Science,744
2010-06,Mathematics,2000
2010-06,Other,1892
2010-06,Physics,444
2010-06,Quantitative Biology,77
2010-06,Quantitative Finance,45
2010-06,Statistics,114
2010-07,Computer Science,953
2010-07,Mathematics,1887
2010-07,Other,1929
2010-07,Physics,502
2010-07,Quantitative Biology,106
2010-07,Quantitative Finance,41
2010-07,Statistics,88
2010-08,Computer Science,574
2010-08,Mathematics,1934
2010-08,Other,1700
2010-08,Physics,390
2010-08,Quantitative Biology,95
2010-08,Quantitative Finance,46
2010-08,Statistics,92
2010-09,Computer Science,700
2010-09,Mathematics,2044
2010-09,Other,2210
2010-09,Physics,469
2010-09,Quantitative Biology,95
2010-09,Quantitative Finance,39
2010-09,Statistics,90
2010-10,Computer Science,563
2010-10,Mathematics,2373
2010-10,Other,3602
2010-10,Physics,584
2010-10,Quantitative Biology,113
2010-10,Quantitative Finance,44
2010-10,Statistics,215
2010-11,Computer Science,623
2010-11,Mathematics,2635
2010-11,Other,8875
2010-11,Physics,608
2010-11,Quantitative Biology,106
2010-11,Quantitative Finance,70
2010-11,Statistics,210
2010-12,Computer Science,656
2010-12,Mathematics,1972
2010-12,Other,4764
2010-12,Physics,548
2010-12,Quantitative Biology,110
2010-12,Quantitative Finance,30
2010-12,Statistics,77
2011-01,Computer Science,463
2011-01,Mathematics,1854
2011-01,Other,3663
2011-01,Physics,388
2011-01,Quantitative Biology,86
2011-01,Quantitative Finance,33
2011-01,Statistics,104
2011-02,Computer Science,675
2011-02,Mathematics,2247
2011-02,Other,6287
2011-02,Physics,487
2011-02,Quantitative Biology,76
2011-02,Quantitative Finance,46
2011-02,Statistics,130
2011-03,Computer Science,701
2011-03,Mathematics,2619
2011-03,Other,4932
2011-03,Physics,540
2011-03,Quantitative Biology,84
2011-03,Quantitative Finance,104
2011-03,Statistics,128
2011-04,Computer Science,571
2011-04,Mathematics,2413
2011-04,Other,4306
2011-04,Physics,441
2011-04,Quantitative Biology,88
2011-04,Quantitative Finance,37
2011-04,Statistics,137
2011-05,Computer Science,681
2011-05,Mathematics,2424
2011-05,Other,4983
2011-05,Physics,590
2011-05,Quantitative Biology,101
2011-05,Quantitative Finance,49
2011-05,Statistics,151
2011-06,Computer Science,877
2011-06,Mathematics,2283
2011-06,Other,3572
2011-06,Physics,503
2011-06,Quantitative Biology,78
2011-06,Quantitative Finance,32
2011-06,Statistics,163
2011-07,Computer Science,756
2011-07,Mathematics,2315
2011-07,Other,5706
2011-07,Physics,521
2011-07,Quantitative Biology,95
2011-07,Quantitative Finance,31
2011-07,Statistics,136
2011-08,Computer Science,842
2011-08,Mathematics,2574
2011-08,Other,4589
2011-08,Physics,608
2011-08,Quantitative Biology,100
2011-08,Quantitative Finance,33
2011-08,Statistics,190
2011-09,Computer Science,924
2011-09,Mathematics,2647
2011-09,Other,4957
2011-09,Physics,638
2011-09,Quantitative Biology,129
2011-09,Quantitative Finance,39
2011-09,Statistics,143
2011-10,Computer Science,816
2011-10,Mathematics,2494
2011-10,Other,2886
2011-10,Physics,703
2011-10,Quantitative Biology,88
2011-10,Quantitative Finance,66
2011-10,Statistics,128
2011-11,Computer Science,1287
2011-11,Mathematics,3506
2011-11,Other,4138
2011-11,Physics,777
2011-11,Quantitative Biology,202
2011-11,Quantitative Finance,37
2011-11,Statistics,248
2011-12,Computer Science,700
2011-12,Mathematics,2340
2011-12,Other,2869
2011-12,Physics,622
2011-12,Quantitative Biology,109
2011-12,Quantitative Finance,59
2011-12,Statistics,156
2012-01,Computer Science,744
2012-01,Mathematics,2489
2012-01,Other,2926
2012-01,Physics,591
2012-01,Quantitative Biology,86
2012-01,Quantitative Finance,39
2012-01,Statistics,166
2012-02,Computer Science,1117
2012-02,Mathematics,2668
2012-02,Other,2663
2012-02,Physics,638
2012-02,Quantitative Biology,107
2012-02,Quantitative Finance,49
2012-02,Statistics,226
2012-03,Computer Science,1082
2012-03,Mathematics,2659
2012-03,Other,2970
2012-03,Physics,649
2012-03,Quantitative Biology,118
2012-03,Quantitative Finance,44
2012-03,Statistics,280
2012-04,Computer Science,1141
2012-04,Mathematics,2491
2012-04,Other,2767
2012-04,Physics,584
2012-04,Quantitative Biology,119
2012-04,Quantitative Finance,71
2012-04,Statistics,151
2012-05,Computer Science,1024
2012-05,Mathematics,2772
2012-05,Other,2872
2012-05,Physics,716
2012-05,Quantitative Biology,113
2012-05,Quantitative Finance,76
2012-05,Statistics,248
2012-06,Computer Science,1200
2012-06,Mathematics,2538
2012-06,Other,3065
2012-06,Physics,642
2012-06,Quantitative Biology,145
2012-06,Quantitative Finance,60
2012-06,Statistics,341
2012-07,Computer Science,1577
2012-07,Mathematics,2650
2012-07,Other,3146
2012-07,Physics,685
2012-07,Quantitative Biology,125
2012-07,Quantitative Finance,40
2012-07,Statistics,438
2012-08,Computer Science,1032
2012-08,Mathematics,2375
2012-08,Other,5597
2012-08,Physics,816
2012-08,Quantitative Biology,158
2012-08,Quantitative Finance,38
2012-08,Statistics,166
2012-09,Computer Science,975
2012-09,Mathematics,2632
2012-09,Other,2953
2012-09,Physics,668
2012-09,Quantitative Biology,122
2012-09,Quantitative Finance,42
2012-09,Statistics,188
2012-10,Computer Science,1374
2012-10,Mathematics,3303
2012-10,Other,3640
2012-10,Physics,878
2012-10,Quantitative Biology,206
2012-10,Quantitative Finance,68
2012-10,Statistics,299
2012-11,Computer Science,1094
2012-11,Mathematics,2942
2012-11,Other,3226
2012-11,Physics,708
2012-11,Quantitative Biology,125
2012-11,Quantitative Finance,55
2012-11,Statistics,288
2012-12,Computer Science,1043
2012-12,Mathematics,2490
2012-12,Other,2784
2012-12,Physics,665
2012-12,Quantitative Biology,164
2012-12,Quantitative Finance,42
2012-12,Statistics,222
2013-01,Computer Science,1594
2013-01,Mathematics,3286
2013-01,Other,3780
